DRDP Measure,** DRDP Developmental Level ,** Teaching Practice Category,Resource Agency,Activity Title,Activity Description,URL,"** FS Domain (should be Cognitive, Language, Physical or Social Emotional)","Age Range (months) should be the numbers only, e.g., 6-12)",Extra columns unique to that form (list out after) create a new column for each unique variable,FS ActivityCard #,FS Music,FS Infant Card SPANISH URL,"FS Intentions (should be Communication, Attention, Curiosity or Persitence)","FS Intentions (should be Communication, Attention, Curiosity or Persitence)","HSELOF goals (IT-ATL #, IT-SE #, IT-LC #, IT-C #, IT-PMP #)",ASQ page number
SED 1: Identity of Self in Relation to Others,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Learning Environment and Materials,HSELOF,Sense of Identity and Belonging,"▶Display family photos, books, pictures, and other familiar household items that create a welcoming, home-like atmosphere and reflect the children’s cultures and home languages.;
▶Provide places where each child can store personal comfort items from home.",https://www.headstart.gov/school-readiness/effective-practice-guides/sense-identity-belonging-know,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 10. Child shows awareness about self and how to connect with others.
IT-SE 11. Child understands some characteristics of self and others.
IT-SE 12. Child shows confidence in own abilities through relationships with others.
IT-SE 13. Child develops a sense of belonging through relationships with others.",
SED 1: Identity of Self in Relation to Others,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Professional Growth and Development,HSELOF,Sense of Identity and Belonging,▶Sense of Identity and Belonging: Video 1,https://www.headstart.gov/school-readiness/effective-practice-guides/sense-identity-belonging-see,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 10. Child shows awareness about self and how to connect with others.
IT-SE 11. Child understands some characteristics of self and others.
IT-SE 12. Child shows confidence in own abilities through relationships with others.
IT-SE 13. Child develops a sense of belonging through relationships with others.",
SED 1: Identity of Self in Relation to Others,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Family Engagement,HSELOF,Sense of Identity and Belonging,"▶Brainstorm with parents ways they can tell their child they see her as competent. For example, “You’re working hard on holding that rattle and shaking it. You’re good at grabbing and holding your rattle.” “You sing to your baby sister while I get her food ready. You help me take good care of her.”;
▶Share observations that reinforce how much the family means to the child. For example, “During the group socialization, I saw Phoebe put a book in a bag, pick the bag up, and put the strap across her shoulder just like you do. Phoebe told another child, 'Bye. Go to night school!'—just like you do! She sees you going back to school, and it makes learning fun for her because she wants to be like you.”",https://www.headstart.gov/school-readiness/effective-practice-guides/sense-identity-belonging-do,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 10. Child shows awareness about self and how to connect with others.
IT-SE 11. Child understands some characteristics of self and others.
IT-SE 12. Child shows confidence in own abilities through relationships with others.
IT-SE 13. Child develops a sense of belonging through relationships with others.",
SED 1: Identity of Self in Relation to Others,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Sense of Identity and Belonging,"▶Provide individual space for each child’s belongings, if possible.;
▶Allow for personalized comfort items unique to each child (e.g., a special blanket or teddy bear).;
▶Provide visual, auditory, or other representations of children’s families within the setting.;
▶Reinforce how much the family means to the child and how much the child means to the family. Refer to children as part of a group.;
▶Talk positively about being part of a group.;
▶Engage children in activities that recognize each child, especially when children are in a group setting or activity.;
▶Promote children’s engagement with other children upon arrival and during their time together so that they begin to seek out peers as a source of comfort, enjoyment, and support.;
▶Greet children and families in a way that is respectful of family preferences and abilities and invite them to join in activities.;
▶Comment on children’s/parents’ arrival and departure.;
▶Comment on children’s efforts and describe accomplishments using positive language.",https://www.headstart.gov/school-readiness/effective-practice-guides/sense-identity-belonging-improve,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 10. Child shows awareness about self and how to connect with others.
IT-SE 11. Child understands some characteristics of self and others.
IT-SE 12. Child shows confidence in own abilities through relationships with others.
IT-SE 13. Child develops a sense of belonging through relationships with others.",
SED 1: Identity of Self in Relation to Others,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Sense of Identity and Belonging,"▶Describe obvious physical similarities and differences between children. “Your hair is red and long. Chantel’s hair is brown and short. You both have two blue eyes, one nose, and one mouth!”;
▶Point out that different people have different ideas and preferences. “You love applesauce! But Kalim doesn’t like it at all.”;
▶songs that celebrate membership in the group and uniqueness. Choose some songs that show how your class or group does things (e.g., greeting each other in the morning or picking up toys). 
▶Choose other songs with verses that name individual children.",https://www.headstart.gov/school-readiness/effective-practice-guides/sense-identity-belonging-do,Social and Emotional Development,0 - 36,,Social and Emotional Development,,,,,"IT-SE 10. Child shows awareness about self and how to connect with others.
IT-SE 11. Child understands some characteristics of self and others.
IT-SE 12. Child shows confidence in own abilities through relationships with others.
IT-SE 13. Child develops a sense of belonging through relationships with others.",
SED 2: Social and Emotional Understanding,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Learning Environment and Materials,HSELOF,Emotional Functioning,"▶Design the environment to maximize positive behaviors and minimize behaviors that cause problems.; 
▶Offer materials that encourage children to manage, express, and discuss their feelings and those of others.",https://www.headstart.gov/school-readiness/effective-practice-guides/emotional-functioning-know,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 6. Child learns to express a range of emotions.
IT-SE 7. Child recognizes and interprets emotions of others with the support of familiar adults.
IT-SE 8. Child expresses care and concern towards others.
IT-SE 9. Child manages emotions with the support of familiar adults.",
SED 2: Social and Emotional Understanding,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Professional Growth and Development,HSELOF,Emotional Functioning,"▶Emotional Functioning: Video 1; 
▶Emotional Functioning: Video 2",https://www.headstart.gov/school-readiness/effective-practice-guides/emotional-functioning-see,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 6. Child learns to express a range of emotions.
IT-SE 7. Child recognizes and interprets emotions of others with the support of familiar adults.
IT-SE 8. Child expresses care and concern towards others.
IT-SE 9. Child manages emotions with the support of familiar adults.",
SED 2: Social and Emotional Understanding,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Family Engagement,HSELOF,Emotional Functioning,"▶Share with parents how helpful it is when they respond sensitively to their child’s needs and emotions and soothe their child when she is upset. When young children’s needs are met by others, they begin to learn how to soothe and calm themselves when they become overwhelmed with emotion. Children who can manage their emotions are better able to concentrate on exploring, discovering, and learning new skills.;
▶Invite parents to share their views and expectations on how their children should express and manage their emotions and react to the emotions of others. For example, some families and cultures encourage children to be outgoing and expressive; others encourage children to be more reserved.",https://www.headstart.gov/school-readiness/effective-practice-guides/emotional-functioning-do,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 6. Child learns to express a range of emotions.
IT-SE 7. Child recognizes and interprets emotions of others with the support of familiar adults.
IT-SE 8. Child expresses care and concern towards others.
IT-SE 9. Child manages emotions with the support of familiar adults.",
SED 2: Social and Emotional Understanding,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Emotional Functioning,"▶Be sensitive and empathetic.;
▶Monitor children’s emotions and expression of emotion.;
▶Share positive emotion with children by smiling and laughing with them, sharing enjoyment and interest.;
▶Help infants to regulate by soothing or distracting them or engaging them more positively.;
▶Support toddlers in learning to manage their own emotions by commenting on their emotional state and offering strategies for calming themselves.;
▶Identify children's emotional and behavioral ""triggers"" (e.g., objects, people, or situations that can cause stress and lead to a negative reaction) and seek to minimize them. For example, anticipate situations that will be stressful or frustrating for children and manage the amount of stress or prepare children for the situation. You may also help children identify and avoid overly stressful situations.;
▶Be sensitive to children’s fatigue and excitement levels and change the pace of the activity accordingly.;
▶Recognize that “quiet alert” states are cues and may be the optimal times for engaging infants.;
▶Talk about peers as people with feelings.;
▶Talk about the perspectives of others to help children understand that other children have feelings and these feelings may differ from the child’s.",https://www.headstart.gov/school-readiness/effective-practice-guides/emotional-functioning-improve,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 6. Child learns to express a range of emotions.
IT-SE 7. Child recognizes and interprets emotions of others with the support of familiar adults.
IT-SE 8. Child expresses care and concern towards others.
IT-SE 9. Child manages emotions with the support of familiar adults.
",
SED 2: Social and Emotional Understanding,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Emotional Functioning,"▶Make feelings part of your everyday conversation with an infant or very young child. “Listen to the sound your rattle makes. Do you like that? You do!” or “I know you don’t like feeling cold and wet. ▶Let’s get you a fresh, clean diaper.”;
▶Validate both positive and negative emotions. “Lisette, you built a tall tower! The smile on your face shows me you’re proud.” “Josh, I know you’re upset because it’s time to come in. You love being outside! Can you help me put your coat and mittens away so they’re ready for next time?”;
▶Describe what you’re seeing and doing when a child is upset so children can learn to recognize these cues and offer similar comfort. “Tarik bumped his knee and he’s crying. Let’s get him some ice to put on his boo-boo.”;
▶Offer options when a child is upset, such as a blanket, a hug, or a quiet place to regroup. Describe what’s happening by saying things like, “A quiet place makes it easier to calm down,” so children can begin to understand the strategies that work for them.",https://www.headstart.gov/school-readiness/effective-practice-guides/emotional-functioning-do,Social and Emotional Development,0 - 36,,Social and Emotional Development,,,,,"IT-SE 6. Child learns to express a range of emotions.
IT-SE 7. Child recognizes and interprets emotions of others with the support of familiar adults.
IT-SE 8. Child expresses care and concern towards others.
IT-SE 9. Child manages emotions with the support of familiar adults.",
SED 3: Relationships and Social Interactions with Familiar Adults,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Learning Environment and Materials,HSELOF,Relationships with Adults,"▶Stay aware of children’s needs by consistently scanning the setting and responding when children need help.; 
▶Provide quiet and active areas stocked with materials children may use on their own, all the while being ready to join a child who indicates interest in the adult’s participation.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-adults-know,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 1. Child develops expectations of consistent, positive interactions through secure relationships with familiar adults.
IT-SE 2. Child uses expectations learned through repeated experiences in primary relationships to develop relationships with other adults.
IT-SE 3. Child learns to use adults as a resource to meet needs.",
SED 3: Relationships and Social Interactions with Familiar Adults,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Professional Growth and Development,HSELOF,Relationships with Adults,"▶Relationships with Adults: Video 1; 
▶Relationships with Adults: Video 2",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-adults-see,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 1. Child develops expectations of consistent, positive interactions through secure relationships with familiar adults.
IT-SE 2. Child uses expectations learned through repeated experiences in primary relationships to develop relationships with other adults.
IT-SE 3. Child learns to use adults as a resource to meet needs.",
SED 3: Relationships and Social Interactions with Familiar Adults,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Family Engagement,HSELOF,Relationships with Adults,"▶Notice and admire parents’ acts of nurturance. For example:
1. “Tanya really needed you to pick her up and hold her close. You knew just how to help her stop crying. She’s looking at you so lovingly now.”
2. “I noticed that you gave Philipé a gentle hug before he went to join his friends in the group socialization activity. And every time he looked back at you, you gave him a smile and wave. You two are really connecting with each other!”;
▶Encourage parents to show excitement and interest in what their child is doing and saying. For example:
1. “Chrissy is really enjoying you calling to her from other end of the tunnel. I can see how much fun she has when you play with her.”
2. “When you asked Marco to tell you about the rocks he collected on our walk today, I could see his eyes light up. I think he really likes sharing what he knows with you.”
",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-adults-do,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 1. Child develops expectations of consistent, positive interactions through secure relationships with familiar adults.
IT-SE 2. Child uses expectations learned through repeated experiences in primary relationships to develop relationships with other adults.
IT-SE 3. Child learns to use adults as a resource to meet needs.",
SED 3: Relationships and Social Interactions with Familiar Adults,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Relationships with Adults,"▶Use children’s names in a positive context.;
▶Talk with children at eye level, as culturally appropriate.;
▶Use non-verbal strategies for comfort and support; as culturally appropriate for each child. For example:
1. Hugging, stroking, holding, or rocking the child
2. Gently placing a hand on or patting the child
3. Allowing children to sit close
4. Smiling
5. Using kind and calm tones;
▶Listen carefully to what children say and demonstrate interest in verbal and non-verbal ways.;
▶Comment on what children are doing and saying.;
▶Play responsive social games with children (e.g., peek-a-boo).;
▶Consistently scan the room and respond when children need help.;
▶Acknowledge children’s temperamental traits (e.g., ""I know you like to watch for a while before trying something new."").;
▶Use positive or neutral descriptors (e.g., assertive, persistent, watchful, observant, takes her time with new people, excited, energetic) and avoid the use of negative labels for children’s temperaments (e.g., loud, aggressive, stubborn, scared, shy, fearful).;
▶Wait for children to respond to a verbal or nonverbal communication before acting. Match your response to the child’s emotions.;
▶Adapt your schedule, behavior, energy level, and pace of interaction in response to child’s state, emotional expression, and/or temperament.;
▶Prepare and inform children about transitions and facilitate rituals for routines (e.g., eating, sleeping, arriving, departing, diapering, toileting, dressing). Provide information to parents about why rituals are important.;
▶Provide quiet and active spaces with easily accessible materials children may choose.;
▶Reassure children who go off to explore that you (or other adults) are close by if needed.;
▶Spend one-on-one time with each child in your primary care.;
▶Reconnect with a child through a smile, hug, kind word, or other meaningful gesture after having a challenging interaction.;
▶Identify child behaviors that “push your buttons” and develop strategies for dealing with situations when children’s behaviors frustrate you.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-adults-improve,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 1. Child develops expectations of consistent, positive interactions through secure relationships with familiar adults.
IT-SE 2. Child uses expectations learned through repeated experiences in primary relationships to develop relationships with other adults.
IT-SE 3. Child learns to use adults as a resource to meet needs.",
SED 3: Relationships and Social Interactions with Familiar Adults,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Relationships with Adults,"▶Check in with children visually and verbally when you’re occupied with something else. Use a smile or a comment such as, “I see you over there. Are you getting hungry?,” as a reminder that you’re connected.;
▶Talk to children as you’re going about daily tasks like diapering or providing snacks. Pause to allow them a turn in the conversation, which will progress from gesturing and cooing to sounds, words, phrases, and complete sentences as children get older.;
▶Provide a routine or cue so children know what to expect. Describe what’s happening now and what will happen next.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-adults-do,Social and Emotional Development,0 - 36,,Social and Emotional Development,,,,,"IT-SE 1. Child develops expectations of consistent, positive interactions through secure relationships with familiar adults.
IT-SE 2. Child uses expectations learned through repeated experiences in primary relationships to develop relationships with other adults.
IT-SE 3. Child learns to use adults as a resource to meet needs.
",
SED 4: Relationships and Social Interactions with Peers,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Learning Environment and Materials,HSELOF,Relationships with Other Children,"▶Offer play materials and activities that encourage two or more children to use them together.; 
▶Arrange the setting so children can see what’s going on around them and move freely without encountering obstacles or getting in each other’s way.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-know,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Child imitates and engages in play with other children.",
SED 4: Relationships and Social Interactions with Peers,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Professional Growth and Development,HSELOF,Relationships with Other Children,▶Relationships with Other Children: Video 1,https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-see,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Child imitates and engages in play with other children.",
SED 4: Relationships and Social Interactions with Peers,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Family Engagement,HSELOF,Relationships with Other Children,"▶Share information with parents about why it is important for their child to develop positive social skills with peers.;
▶Encourage parents to share their observations of and expectations for peer interactions. For example, peer interactions among young children in some cultural groups may be mostly nonverbal; instead, children may imitate each other or offer toys to a friend.1;
▶Strategize with parents to identify opportunities for their child to be with peers (in addition to siblings or other children who live in the household), like family and community events.;
▶Encourage parents to attend group socializations. These sessions offer more chances for parents to help their child learn and practice social skills with peers.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-do,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Child imitates and engages in play with other children.",
SED 4: Relationships and Social Interactions with Peers,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Relationships with Other Children,"▶Position children, particularly infants, so they can see what others are doing.;
▶Arrange space for more than one child to play in an area.;
▶Comment on children’s play and peer interactions, calling attention to what others are doing.;
▶Structure play and activities to encourage and scaffold peer interactions.
▶Provide some toys and activities that work better when played with another child.;
▶Pair children with similar interests, to balance temperaments, or to provide peer models.
For infants, you may have them play close to one another and refer to others in the room as children.;
▶Depending on children’s developmental level, encourage a range of types of peer play, including parallel, associative, social, and dramatic.;
▶Model positive social behaviors such as “gentle touch” by putting your hands over child’s hands to guide touching peers gently.;
▶Talk about peers as people with feelings.;
▶Support solving problems with peers by offering children different strategies, such as finding a different but similar toy or taking turns.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-improve,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Child imitates and engages in play with other children.
",
SED 4: Relationships and Social Interactions with Peers,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Relationships with Other Children,"▶Position infants where they can see others playing. Comment on the activities of other children.;
▶Hold very young children on your lap so they can see their peers, which makes you a secure base and shows them you’ve got their back.;
▶Create opportunities to play side by side. Provide duplicate toys or toys with multiple parts that make sharing easier, like a shape sorter.;
▶For older toddlers, arrange play areas that accommodate small groups so that children can go into those areas to play and interact with each other.;
▶Resist the urge to leap in to facilitate play, allowing a little time for children to work things out on their own.;
▶Read books about playing together and helping each other.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-do,Social and Emotional Development,0 - 36,,Social and Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Child imitates and engages in play with other children.",
SED 5: Symbolic and Sociodramatic Play,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Learning Environment and Materials,HSELOF,Relationships with Other Children,"▶Offer play materials and activities that encourage two or more children to use them together.; 
▶Arrange the setting so children can see what’s going on around them and move freely without encountering obstacles or getting in each other’s way.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-know,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Children imitate and engage in play with other children.",
SED 5: Symbolic and Sociodramatic Play,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Professional Growth and Development,HSELOF,Relationships with Other Children,▶Relationships with Other Children: Video 1,https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-see,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Children imitate and engage in play with other children.",
SED 5: Symbolic and Sociodramatic Play,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Family Engagement,HSELOF,Relationships with Other Children,"▶Share information with parents about why it is important for their child to develop positive social skills with peers.;
▶Encourage parents to share their observations of and expectations for peer interactions. For example, peer interactions among young children in some cultural groups may be mostly nonverbal; instead, children may imitate each other or offer toys to a friend.1;
▶Strategize with parents to identify opportunities for their child to be with peers (in addition to siblings or other children who live in the household), like family and community events.;
▶Encourage parents to attend group socializations. These sessions offer more chances for parents to help their child learn and practice social skills with peers.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-do,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Child imitates and engages in play with other children.",
SED 5: Symbolic and Sociodramatic Play,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Relationships with Other Children,"▶Position children, particularly infants, so they can see what others are doing.;
▶Arrange space for more than one child to play in an area.;
▶Comment on children’s play and peer interactions, calling attention to what others are doing.;
▶Structure play and activities to encourage and scaffold peer interactions.
▶Provide some toys and activities that work better when played with another child.;
▶Pair children with similar interests, to balance temperaments, or to provide peer models.
For infants, you may have them play close to one another and refer to others in the room as children.;
▶Depending on children’s developmental level, encourage a range of types of peer play, including parallel, associative, social, and dramatic.;
▶Model positive social behaviors such as “gentle touch” by putting your hands over child’s hands to guide touching peers gently.;
▶Talk about peers as people with feelings.;
▶Support solving problems with peers by offering children different strategies, such as finding a different but similar toy or taking turns.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-improve,Social And Emotional Development,0 - 36,,Social And Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Child imitates and engages in play with other children.",
SED 5: Symbolic and Sociodramatic Play,"Responding Earlier, Responding Later, Exploring Earlier, Exploring Later, Building Earlier","Interactions/Teaching Strategies, Professional Growth and Development",HSELOF,Relationships with Other Children,"▶Position infants where they can see others playing. Comment on the activities of other children.;
▶Hold very young children on your lap so they can see their peers, which makes you a secure base and shows them you’ve got their back.;
▶Create opportunities to play side by side. Provide duplicate toys or toys with multiple parts that make sharing easier, like a shape sorter.;
▶For older toddlers, arrange play areas that accommodate small groups so that children can go into those areas to play and interact with each other.;
▶Resist the urge to leap in to facilitate play, allowing a little time for children to work things out on their own.;
▶Read books about playing together and helping each other.",https://www.headstart.gov/school-readiness/effective-practice-guides/relationships-other-children-do,Social and Emotional Development,0 - 36,,Social and Emotional Development,,,,,"IT-SE 4. Child shows interest in, interacts with, and develops personal relationships with other children.
IT-SE 5. Child imitates and engages in play with other children.",
PD-HLTH 1: Perceptual-Motor Skills and Movement Concepts,"Responding Later, Exploring Earlier, Exploring Later, Building Earlier",Learning Environment and Materials,ITERS-3 Materials,"Gross Motor Equipment Store bought: riding toys without pedals, small riding toys with pedals, large push-pull wheeled toys, age-appropriate climbing equipment, slide, cushions or rugs for tumbling, tunnels, low balance beam or small tricycles for twos; Homemade: large cardboard boxes","Materials/equipment (portable and stationary) accessible to allow children to be active and involved and stimulate a variety of developmentally appropriate large-muscle skill, materials and equipment, in good repair, and none are extremely dangerous",https://neighborhoodhouseassoc-my.sharepoint.com/shared?listurl=https%3A%2F%2Fneighborhoodhouseassoc%2Esharepoint%2Ecom%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents&viewid=6e91a754%2D4ae3%2D4deb%2D8d00%2Da90a4a732347&id=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FLearning%20Environment%2FITERS3%2DECERS3%5FMaterials%5FGuide%2D%208%2D2020%2Epdf&parent=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FLearning%20Environment,Gross Motor,12 - 36,,"Item 24 Gross Motor, Page 4",,,,,,4
PD-HLTH 1: Perceptual-Motor Skills and Movement Concepts,"Responding Earlier, Responding Later",Learning Environment and Materials,ITERS-3 Materials,"Gross Motor Equipment Store bought: outdoor pad or blanket, crib gym for younger infants, busy box, playdough, grasping toys to reach for or shake, ramps for crawling","Materials/equipment (portable and stationary) accessible to allow children to be active and involved and stimulate a variety of developmentally appropriate large-muscle skill, materials and equipment, in good repair, and none are extremely dangerous",https://neighborhoodhouseassoc-my.sharepoint.com/shared?listurl=https%3A%2F%2Fneighborhoodhouseassoc%2Esharepoint%2Ecom%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents&viewid=6e91a754%2D4ae3%2D4deb%2D8d00%2Da90a4a732347&id=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FLearning%20Environment%2FITERS3%2DECERS3%5FMaterials%5FGuide%2D%208%2D2020%2Epdf&parent=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FLearning%20Environment,Gross Motor,0 - 12,,"Item 24 Gross Motor, Page 4",,,,,,4
PD-HLTH 2: Gross Locomotor Movement Skills,"Exploring Earlier, Exploring Middle, Exploring Later, Building Earlier",Learning Environment and Materials,ITERS-3 Materials,"Gross Motor Equipment Store bought: age-appropriate climbing equipment, slide, cushions or rugs for tumbling, tunnels; Homemade: large cardboard boxes","Materials/equipment (portable and stationary) accessible to allow children to be active and involved and stimulate a variety of developmentally appropriate large-muscle skill, materials and equipment, in good repair, and none are extremely dangerous",https://neighborhoodhouseassoc-my.sharepoint.com/shared?listurl=https%3A%2F%2Fneighborhoodhouseassoc%2Esharepoint%2Ecom%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents&viewid=6e91a754%2D4ae3%2D4deb%2D8d00%2Da90a4a732347&id=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FLearning%20Environment%2FITERS3%2DECERS3%5FMaterials%5FGuide%2D%208%2D2020%2Epdf&parent=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FLearning%20Environment,Gross Motor,12 - 36,,"Item 24 Gross Motor, Page 4",,,,,,4
PD-HLTH 2: Gross Locomotor Movement Skills,"Responding Later, Exploring Earlier",Learning Environment and Materials,ITERS-3 Materials,"Gross Motor Equipment Store bought: Outdoor pad or blanket, gym crib for younger infants, push toys, ramps for crawling","Materials/equipment (portable and stationary) accessible to allow children to be active and involved and stimulate a variety of developmentally appropriate large-muscle skill, materials and equipment, in good repair, and none are extremely dangerous",https://neighborhoodhouseassoc-my.sharepoint.com/shared?listurl=https%3A%2F%2Fneighborhoodhouseassoc%2Esharepoint%2Ecom%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents&viewid=6e91a754%2D4ae3%2D4deb%2D8d00%2Da90a4a732347&id=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FLearning%20Environment%2FITERS3%2DECERS3%5FMaterials%5FGuide%2D%208%2D2020%2Epdf&parent=%2Fsites%2FPY56EHSSiteSupervisorsAsst%2ESiteSupervisors%2FShared%20Documents%2FGeneral%2FLearning%20Environment,Gross Motor,0 - 12,,"Item 24 Gross Motor, Page 4",,,,,,4
